,Dim Technique,Num Dimensions,SGD Score,SVC Score
0,KPCA,500,0.40625,0.84375
1,LLE,500,0.46875,0.48125
2,LOL,500,0.05,0.5625
3,PCA,500,0.075,0.55625
4,SLMVP,500,0.175,0.8125
5,KPCA,1000,0.71875,0.825
6,LLE,1000,0.61875,0.8375
7,LOL,1000,0.175,0.675
8,PCA,1000,0.26875,0.75625
9,SLMVP,1000,0.39375,0.54375
10,KPCA,1500,0.78125,0.9125
11,LLE,1500,0.68125,0.825
12,LOL,1500,0.1625,0.44375
13,PCA,1500,0.225,0.45625
14,SLMVP,1500,0.58125,0.7625
15,KPCA,2000,0.83125,0.91875
16,LLE,2000,0.7375,0.86875
17,LOL,2000,0.225,0.56875
18,PCA,2000,0.3625,0.60625
19,SLMVP,2000,0.7125,0.90625
20,KPCA,2500,0.875,0.95
21,LLE,2500,0.75,0.86875
22,LOL,2500,0.45,0.71875
23,PCA,2500,0.39375,0.7375
24,SLMVP,2500,0.775,0.91875
25,KPCA,3000,0.88125,0.94375
26,LLE,3000,0.74375,0.875
27,LOL,3000,0.43125,0.775
28,PCA,3000,0.50625,0.84375
29,SLMVP,3000,0.825,0.925
30,KPCA,3500,0.85,0.95
31,LLE,3500,0.78125,0.8875
32,LOL,3500,0.5625,0.825
33,PCA,3500,0.6875,0.85
34,SLMVP,3500,0.84375,0.94375
35,KPCA,4000,0.8875,0.95
36,LLE,4000,0.81875,0.875
37,LOL,4000,0.625,0.89375
38,PCA,4000,0.71875,0.9
39,SLMVP,4000,0.83125,0.95
40,KPCA,4500,0.90625,0.94375
41,LLE,4500,0.85625,0.85625
42,LOL,4500,0.6875,0.93125
43,PCA,4500,0.725,0.9375
44,SLMVP,4500,0.88125,0.94375
45,KPCA,5000,0.89375,0.90625
46,LLE,5000,0.81875,0.83125
47,LOL,5000,0.79375,0.9375
48,PCA,5000,0.8125,0.94375
49,SLMVP,5000,0.86875,0.9375
50,KPCA,5500,0.89375,0.86875
51,LLE,5500,0.84375,0.81875
52,LOL,5500,0.7875,0.925
53,PCA,5500,0.84375,0.93125
54,SLMVP,5500,0.8875,0.91875
55,KPCA,6000,0.9,0.85
56,LLE,6000,0.85,0.7625
57,LOL,6000,0.85,0.91875
58,PCA,6000,0.88125,0.93125
59,SLMVP,6000,0.90625,0.8625
60,KPCA,6500,0.9,0.825
61,LLE,6500,0.8875,0.71875
62,LOL,6500,0.88125,0.9
63,PCA,6500,0.9125,0.9125
64,SLMVP,6500,0.91875,0.85625
65,KPCA,7000,0.9125,0.7875
66,LLE,7000,0.90625,0.65625
67,LOL,7000,0.90625,0.875
68,PCA,7000,0.90625,0.89375
69,SLMVP,7000,0.925,0.81875
70,KPCA,7500,0.9125,0.75625
71,LLE,7500,0.93125,0.63125
72,LOL,7500,0.9125,0.83125
73,PCA,7500,0.93125,0.8375
74,SLMVP,7500,0.9125,0.79375
75,KPCA,8000,0.91875,0.71875
76,LLE,8000,0.925,0.60625
77,LOL,8000,0.925,0.78125
78,PCA,8000,0.9375,0.7875
79,SLMVP,8000,0.925,0.74375
80,KPCA,8500,0.93125,0.675
81,LLE,8500,0.93125,0.6
82,LOL,8500,0.93125,0.74375
83,PCA,8500,0.91875,0.7625
84,SLMVP,8500,0.925,0.69375
85,KPCA,9000,0.91875,0.6
86,LLE,9000,0.93125,0.56875
87,LOL,9000,0.93125,0.6625
88,PCA,9000,0.9375,0.6875
89,SLMVP,9000,0.925,0.65
90,KPCA,9500,0.93125,0.5625
91,LLE,9500,0.9375,0.54375
92,LOL,9500,0.925,0.60625
93,PCA,9500,0.91875,0.60625
94,SLMVP,9500,0.90625,0.58125
95,KPCA,10000,0.9375,0.51875
96,LLE,10000,0.925,0.50625
97,LOL,10000,0.925,0.5375
98,PCA,10000,0.94375,0.55
99,SLMVP,10000,0.9375,0.55
100,KPCA,10304,0.9375,0.4875
101,LLE,10304,0.9375,0.4875
102,LOL,10304,0.9375,0.4875
103,PCA,10304,0.9375,0.4875
104,SLMVP,10304,0.9375,0.4875
